keyword,location,website_url,phone_number
Tree Removal,Sydney,https://www.blacktown-treeservice.com.au/,"711592209, 470209220, 135559, 714398940, 136262, 306325005, 136702, 133924, 884625566, 130632, 130614, 786489610, 798528413, 479844495, 134903, 395663477, 294843315, 713555924, 449159898, 261746563, 213951280, 202911898, 483848647, 767241998, 339242494, 406824071, 367029309, 709909383, 293851011, 879513460, 217377852, 02 8806 1498, 130258, 339271807, 368264223, 440425627, 135542, 131972, 885111008, 136629, 283022158, 355992340, 312296571, 495854214, 760054885, 356570172, 448878676, 135599, 773583994, 425656285, 279804837, 867346122, 433752499, 729974786, 759869304, 306147760, 236739589, 758979932, 710227239, 0288061498, 783733675, 498074394, 445780124, 134301, 131229, 332442362, 442959266, 136956, 471873317, 895786629, 849937858, 222726299, 133244, 469894400, 888502559, 715067063, 445859724, 339622655, 369561977, 757876299, 705255622, 755995141, 893622649, 212482134, 823677443, 130690, 486011447, 329774275, 235470797, 137213, 131066, 803448052, 343011726, 139607, 250158046, 477164307, 139433, 132977, 716942098, 785290906, 298766940, 485260731, 285254672, 763389341, 852973314, 236746004, 136810, 754666675, 139512, 136102, 803366767, 349033541, 355421491, 139566, 130189, 298391825, 283136629, 830372865, 306904239, 791865787, 130099, 216115967, 130188, 240177693, 133927, 396071180, 813025822, 424286177, 282287576, 137991, 883554129, 136826, 133572, 361022050, 837856251, 368101915, 498919195, 708339934, 139679, 797873809, 729928802, 248746383, 135657, 709005236, 336383107, 427596847, 888054783, 865597702, 859734606, 489437796, 134009, 239205667, 136721, 841528365, 260725801, 258119881, 426664083, 133638, 788626316, 455190567, 310665835, 335728542, 846687400, 131622, 379915652, 139873, 831617384, 777080868, 248861185, 752054289, 723660855, 279136262, 449882040, 394336004, 867951875, 729928803, 133962, 894022610"
Tree Removal,Sydney,https://aagreengroup.com.au/,"708340434, 130002, 1300 025 407, 285714285, 300025407, 428571429, 321428571, 708340433, 1300025407, 785714285, 428571428"
Tree Removal,Sydney,https://www.truevaluetreeservice.com.au/,"280000000, 832177504, 761245485, 0431007004, 14811916, 0290598254, 275081023, 479509003, 315509166, 448432498"
Tree Removal,Sydney,https://www.blacktown-treeservice.com.au/,"711592209, 470209220, 135559, 714398940, 136262, 306325005, 136702, 133924, 884625566, 130632, 130614, 786489610, 798528413, 479844495, 134903, 395663477, 294843315, 713555924, 449159898, 261746563, 213951280, 202911898, 483848647, 767241998, 339242494, 406824071, 367029309, 709909383, 293851011, 879513460, 217377852, 02 8806 1498, 130258, 339271807, 368264223, 440425627, 135542, 131972, 885111008, 136629, 283022158, 355992340, 312296571, 495854214, 760054885, 356570172, 448878676, 135599, 773583994, 425656285, 279804837, 867346122, 433752499, 729974786, 759869304, 306147760, 236739589, 758979932, 710227239, 0288061498, 783733675, 498074394, 445780124, 134301, 131229, 332442362, 442959266, 136956, 471873317, 895786629, 849937858, 222726299, 133244, 469894400, 888502559, 715067063, 445859724, 339622655, 729928976, 369561977, 757876299, 705255622, 755995141, 893622649, 212482134, 823677443, 130690, 486011447, 329774275, 235470797, 137213, 131066, 803448052, 343011726, 139607, 250158046, 477164307, 139433, 132977, 716942098, 785290906, 298766940, 485260731, 285254672, 763389341, 852973314, 236746004, 136810, 754666675, 139512, 136102, 803366767, 349033541, 355421491, 139566, 130189, 298391825, 283136629, 830372865, 306904239, 791865787, 130099, 216115967, 130188, 240177693, 133927, 396071180, 813025822, 424286177, 282287576, 137991, 883554129, 136826, 133572, 361022050, 837856251, 368101915, 498919195, 708339934, 139679, 797873809, 248746383, 135657, 709005236, 336383107, 427596847, 888054783, 865597702, 859734606, 489437796, 134009, 239205667, 136721, 841528365, 260725801, 258119881, 426664083, 133638, 788626316, 455190567, 310665835, 335728542, 846687400, 131622, 379915652, 139873, 831617384, 777080868, 248861185, 752054289, 723660855, 279136262, 449882040, 394336004, 867951875, 729928803, 133962, 894022610"
Tree Removal,Brisbane,https://www.thetreedoc-srp.com.au/soil-injection-treatments,"132112, 07 3177 4816, 488587643, 233878610, 134305, 132813, 483618056, 284986155, 216584289, 200495150, 414058422, 774070627, 136075, 458781935, 139956, 813046492, 239207556, 206039194, 234678423, 404530034, 807640365, 464038393, 253700920, 137399, 721139318, 334376921, 800828510, 857216023, 724530173, 829543132, 131582, 774376551, 356496037, 138005, 425511836, 877900321, 835776962, 787216699, 315078586, 315827814, 757471641, 1800828510, 224600860, 131887, 133136, 247186729, 134436, 136682, 229160069, +61738552855, 339193945, 808710126, 318873771, 343050927, 236997932, 200000000, 807464192, 131507, 139318, 465638436, 233341921, 739689183, 834656140, 224255409, 870603734, 815070513, 738736659, 281029946, 442392059, 137127, 395747260, 135649, 433117834, 139119, 130797, 371275037, 138205, 767157266, 321127727, 428868855, 701966815, 846443827, 732548369, 320423746, 839199311, 373440895, 339174717, 495296967, 366825167, 807990925, 889640852, 290771809, 896531582, 298337372, 139389, 747556286, 764916432, 879244776, 137344, 219237600, 226482618, 499636127, 380188791, 834648540, 407707139, 219788878, 406363941, 716942098, 279468861, 328132127, 248170318, 882822636, 731540415, 894842885, 262869463, 236746004, 447356659, 373992333, 133993, 401202150, 774494742, 133917, 382465638, 826829252, 272586242, 393894563, 430455836, 133437, 490284470, 798536676, 750883866, 770164556, 468400828, 130464, 216010096, 360755936, 839967244, 382051837, 138018, 236082894, 709005236, 380053304, 132042, 307978614, 495950017, 888082746, 716768381, 139574, 857001590, 139954, 854167972, 138246, 29676441, 425256016, 316752598, 786859495, 131675, 495407457, 878193556, 288228018"
Tree Removal,Melbourne,https://arborexpress-vic.com.au/,"0493993187, 264015767, 828684001, 729929313"
Tree Removal,Melbourne,https://www.climbinghigh.com.au/arborist-reports/,"891022744, 0417365319, 729929339"
Tree Removal,Melbourne,https://treeremovalservices.au/,"137417, 713741748, 729929358, 445686089, 729929357, 20100101, 727232460"
Tree Removal,Melbourne,https://arborexpress-vic.com.au/,"828684001, 729929313, 0493993187, 264015767, 729929380"
Roof Repairs,Brisbane,https://metrohail.com.au/,"867641115, 728887434, 200909639, 0731010881, 394931053, 867643291, 457083103, 728887435, 0731010885, 311903304, 708310397, 0731010883, 0731010887, 729929507, 728886109, 886764329, 729099456, 729929506, 7 3101 0881, 291759500, 20100101, 07 3101 0881"
Roof Repairs,Brisbane,https://metrohail.com.au/,"867641115, 728887434, 0731010881, 394931053, 867643291, 457083103, 275013365, 728887435, 0731010885, 311903304, 708310397, 0731010883, 0731010887, 729929585, 729929507, 728886109, 729099456, 7 3101 0881, 318246841, 291759500, 20100101, 07 3101 0881"
Roof Repairs,Melbourne,https://www.googleadservices.com/pagead/aclk,No phone found
Roof Repairs,Melbourne,https://www.googleadservices.com/pagead/aclk,No phone found
